1536013057.264164,-28.45,13.33,5.0
1536013057.268015,-28.98,11.11,4.999993727994008
1536013057.27,-26.01,8.18,4.999974496620155
1536013057.271983,-18.73,2.49,4.999941675198849
1536013057.273947,-18.47,2.11,4.999894622860713
1536013057.277932,-17.68,1.95,4.999832688552638
1536013057.279946,-18.28,1.8,4.999755211044263
1536013057.281968,-18.0,1.89,4.999661518934903
1536013057.284017,-18.41,1.96,4.999550930660916
1536013057.287993,-19.3,2.14,4.999422754503557
1536013057.290023,-19.94,1.67,4.999276288597309
1536013057.291988,-18.79,1.27,4.999110820938721
1536013057.293961,-17.61,1.31,4.998925629395767
1536013057.297981,-16.95,1.81,4.9987199817177395
1536013057.299999,-18.5,2.2,4.998493135545701
1536013057.302012,-17.62,2.21,4.998244338423504
1536013057.303983,-18.13,2.23,4.997972827809405
1536013057.307952,-20.04,2.01,4.997677831088278
1536013057.309955,-19.17,2.32,4.997358565584461
1536013057.311994,-20.29,2.11,4.997014238575244
1536013057.313978,-19.4,2.23,4.996644047305014
1536013057.317952,-18.54,2.57,4.996247179000088
1536013057.319974,-17.02,2.06,4.995822810884247
1536013057.321977,-18.81,2.28,4.995370110194977
1536013057.323963,-21.99,2.14,4.994888234200464
1536013057.328107,-20.53,2.15,4.994376330217335
1536013057.330028,-20.6,1.94,4.993833535629189
1536013057.331994,-19.84,1.66,4.9932589779059136
1536013057.33398,-17.6,1.74,4.992651774623827
1536013057.337928,-16.88,1.82,4.99201103348666
1536013057.339931,-19.17,1.73,4.9913358523474
1536013057.341882,-19.1,2.11,4.990625319231004
1536013057.343893,-18.42,2.87,4.989878512358026
1536013057.348019,-18.59,2.7,4.989094500169168
1536013057.349972,-18.03,2.99,4.988272341350765
1536013057.351976,-18.52,2.6,4.987411084861246
1536013057.353955,-18.59,2.42,4.986509769958584
1536013057.357915,-18.18,2.42,4.985567426228753
1536013057.360011,-17.88,2.33,4.98458307361522
1536013057.362025,-18.87,2.11,4.983555722449495
1536013057.363989,-18.89,2.04,4.982484373482757
1536013057.367961,-18.86,2.15,4.981368017918586
1536013057.369963,-18.3,1.99,4.980205637446819
1536013057.371996,-17.94,2.09,4.978996204278547
1536013057.374167,-16.51,2.01,4.977738681182303
1536013057.37807,-17.62,2.06,4.97643202152142
1536013057.380104,-18.29,2.45,4.975075169292637
1536013057.3821,-20.2,2.52,4.973667059165928
1536013057.384053,-20.02,3.0,4.972206616525606
1536013057.388079,-19.02,3.36,4.970692757512723
1536013057.390047,-20.44,3.16,4.969124389068793
1536013057.392028,-19.93,3.03,4.967500408980837
1536013057.393983,-20.29,3.08,4.96581970592782
1536013057.397986,-19.29,2.99,4.964081159528463
1536013057.400056,-18.85,2.74,4.962283640390482
1536013057.401976,-18.31,2.51,4.960426010161274
1536013057.404033,-20.69,2.49,4.9585071215800545
1536013057.408025,-21.99,3.09,4.956525818531515
1536013057.410009,-20.68,2.37,4.954480936100978
1536013057.412012,-18.27,1.91,4.9523713006311185
1536013057.413944,-18.26,1.74,4.9501957297802415
1536013057.417985,-17.8,1.78,4.947953032582175
1536013057.419978,-18.77,2.27,4.945642009507775
1536013057.421957,-18.62,2.45,4.943261452528097
1536013057.423997,-18.09,2.24,4.940810145179231
1536013057.428031,-17.54,2.45,4.938286862628857
1536013057.429962,-18.41,2.44,4.935690371744529
1536013057.431986,-18.86,2.42,4.933019431163714
1536013057.433976,-19.09,2.21,4.930272791365629
1536013057.438136,-19.32,1.98,4.927449194744878
1536013057.440098,-17.71,2.21,4.924547375686949
1536013057.442005,-18.21,2.22,4.9215660606455645
1536013057.443997,-18.94,2.05,4.918503968221941
1536013057.44802,-18.62,2.24,4.915359809245966
1536013057.449985,-18.72,2.15,4.912132286859326
1536013057.451985,-18.29,1.82,4.908820096600626
1536013057.454023,-17.58,1.87,4.905421926492501
1536013057.458131,-16.72,1.89,4.90193645713078
1536013057.460124,-19.13,2.47,4.898362361775698
1536013057.462005,-20.36,2.96,4.89469830644521
1536013057.464044,-19.94,3.39,4.890942950010421
1536013057.46798,-19.89,3.38,4.88709494429317
1536013057.470051,-19.92,2.85,4.883152934165776
1536013057.472037,-20.54,2.57,4.879115557653
1536013057.473998,-20.47,2.35,4.874981446036236
1536013057.478129,-19.47,2.58,4.870749223959965
1536013057.480004,-18.68,2.79,4.866417509540483
1536013057.481978,-17.99,2.33,4.861984914476967
1536013057.483988,-19.6,2.32,4.857450044164867
1536013057.48814,-21.21,2.71,4.852811497811684
1536013057.490164,-20.74,2.38,4.848067868555134
1536013057.49223,-19.29,2.05,4.843217743583753
1536013057.494103,-17.87,1.81,4.838259704259952
1536013057.498003,-16.12,1.95,4.833192326245561
1536013057.499977,-17.84,1.95,4.828014179629873
1536013057.501994,-18.7,2.16,4.822723829060246
1536013057.503978,-18.43,2.64,4.817319833875254
1536013057.507911,-18.76,2.9,4.8118007482404455
1536013057.509962,-19.01,2.55,4.806165121286717
1536013057.512083,-17.96,2.78,4.800411497251342
1536013057.513966,-18.98,2.74,4.794538415621669
1536013057.517959,-18.18,2.48,4.788544411281531
1536013057.519925,-17.16,2.28,4.782428014660384
1536013057.522112,-16.93,2.51,4.776187751885198
1536013057.524049,-18.34,2.22,4.769822144935137
1536013057.528088,-19.99,2.26,4.763329711799052
1536013057.529973,-18.96,2.11,4.756708966635806
1536013057.532031,-18.35,2.02,4.749958419937462
1536013057.53398,-18.72,1.69,4.74307657869537
1536013057.538002,-17.14,1.48,4.736061946569152
1536013057.540046,-18.92,2.06,4.728913024058645
